d;x;y;z;z_lisse;pente;x_prime_lisse;y_prime_lisse;x_seconde_lisse;y_seconde_lisse;courbure
1198;237.22;379.86;3.72;3.72;-0.6;0.981666667;0.208333333;0.003333333;-0.013095238;-0.013407125
1199;238.2;380.07;3.72;3.72;-0.6;0.974166667;0.21;0.001753247;-0.002380952;-0.002715682
1200;239.17;380.28;3.71;3.71;-0.9;0.974166667;0.21;0.00021645;-5.41366E-15;-4.5929E-05
1201;240.15;380.49;3.7;3.70;-0.9;0.980833333;0.21;-0.00017316;0;3.60316E-05
1202;241.13;380.7;3.69;3.69;-0.6;0.980833333;0.21;0.00017316;0.001190476;0.001120965
1203;242.11;380.91;3.69;3.69;-0.6;0.974166667;0.209166667;0.00038961;0.001190476;0.001090059
1204;243.08;381.12;3.68;3.68;-0.7;0.974166667;0.215833333;0.00021645;0.00047619;0.00041995
1205;244.06;381.34;3.67;3.67;-0.6;0.980833333;0.215833333;0.001190476;-0.005238095;-0.00532565
1206;245.04;381.55;3.67;3.67;-0.6;0.98;0.2125;0.002121212;-0.013095238;-0.01317414
1207;246.02;381.76;3.66;3.66;-0.7;0.979166667;0.191666667;0.002554113;-0.017380952;-0.017627145
1208;247;381.93;3.65;3.65;-0.6;0.985;0.156666667;0.002164502;-0.015238095;-0.015469844
1209;247.99;382.08;3.65;3.65;-0.6;0.990833333;0.148333333;0.001948052;-0.00952381;-0.009670968
1210;248.98;382.23;3.64;3.64;-0.7;0.99;0.15;0.000757576;-0.002380952;-0.002461174
1211;249.97;382.38;3.63;3.63;-0.6;0.99;0.15;-0.000151515;-5.41366E-15;2.26389E-05
1212;250.96;382.53;3.63;3.63;-0.6;0.990833333;0.15;-0.000584416;-0.001190476;-0.001084976
1213;251.95;382.68;3.62;3.62;-0.9;0.984166667;0.150833333;-0.00021645;-0.001190476;-0.001153945
1214;252.93;382.83;3.61;3.61;-1.0;0.984166667;0.144166667;0.000822511;-0.00047619;-0.000596721
1215;253.92;382.97;3.6;3.60;-1.0;0.990833333;0.144166667;0.001341991;-0.006666667;-0.006773257
1216;254.91;383.12;3.59;3.59;-1.0;0.989166667;0.155833333;0.001948052;-0.01547619;-0.015548279
1217;255.9;383.27;3.58;3.58;-1.0;0.995833333;0.121666667;0.002186147;-0.020714286;-0.020692291
1218;256.9;383.36;3.57;3.57;-1.0;0.995;0.075;0.001731602;-0.02;-0.020161279
1219;257.89;383.43;3.56;3.56;-1.0;0.994166667;0.068333333;0.000974026;-0.011904762;-0.012027279
1220;258.89;383.5;3.55;3.55;-1.0;1.000833333;0.07;0.0004329;-0.002380952;-0.00238966
1221;259.89;383.57;3.54;3.54;-1.0;1.000833333;0.07;0.00017316;-5.41366E-15;-1.20028E-05
1222;260.89;383.64;3.53;3.53;-1.0;0.994166667;0.07;0.00038961;0.001190476;0.001168035
1223;261.88;383.71;3.52;3.52;-1.0;0.994166667;0.069166667;-0.00038961;0.001190476;0.001223022
1224;262.88;383.78;3.51;3.51;-1.0;1.000833333;0.075833333;-0.00017316;0.00047619;0.00048432
1225;263.88;383.86;3.5;3.50;-0.9;1.000833333;0.075833333;0.00017316;-0.00047619;-0.00048432
1226;264.88;383.93;3.49;3.49;-0.6;0.994166667;0.069166667;0.00038961;-0.001190476;-0.001223022
1227;265.87;384;3.49;3.49;-0.6;0.994166667;0.07;0.00021645;-0.004761905;-0.004797648
1228;266.87;384.07;3.48;3.48;-0.9;1.000833333;0.0725;0.000584416;-0.011904762;-0.01183394
1229;267.87;384.14;3.47;3.47;-1.0;1;0.058333333;0.000757576;-0.018095238;-0.018047236
1230;268.87;384.18;3.46;3.46;-1.0;1;0.0175;0.000606061;-0.018571429;-0.018573502
1231;269.87;384.18;3.45;3.45;-1.0;1;-0.003333333;3.93721E-15;-0.013095238;-0.01309502
1232;270.87;384.18;3.44;3.44;-1.0;1;-9.4739E-15;3.93721E-15;-0.004761905;-0.004761905
1233;271.87;384.18;3.43;3.43;-1.0;1;-9.4739E-15;3.93721E-15;-1.08273E-14;-1.08273E-14
1234;272.87;384.18;3.42;3.42;-1.0;1;-9.4739E-15;3.93721E-15;-1.08273E-14;-1.08273E-14
1235;273.87;384.18;3.41;3.41;-1.0;1;-9.4739E-15;3.93721E-15;-1.08273E-14;-1.08273E-14
1236;274.87;384.18;3.4;3.40;-0.9;1;-9.4739E-15;3.93721E-15;-1.08273E-14;-1.08273E-14
1237;275.87;384.18;3.39;3.39;-0.5;1;-9.4739E-15;3.93721E-15;-1.08273E-14;-1.08273E-14
1238;276.87;384.18;3.39;3.39;-0.2;1;-9.4739E-15;3.93721E-15;-1.08273E-14;-1.08273E-14
1239;277.87;384.18;3.39;3.39;-0.4;1;-9.4739E-15;3.93721E-15;-1.08273E-14;-1.08273E-14
1240;278.87;384.18;3.38;3.38;-0.4;1;-9.4739E-15;-0.000606061;-0.001190476;-0.001190476
1241;279.87;384.18;3.38;3.38;-0.3;1;0.000833333;-0.001363636;-0.014285714;-0.014284563
1242;280.87;384.18;3.38;3.38;-0.4;1.000833333;0.003333333;-0.001341991;-0.026666667;-0.026617373
1243;281.87;384.17;3.37;3.37;-0.5;0.995;-0.060833333;-0.001406926;-0.029761905;-0.029980399
1244;282.86;384.06;3.37;3.37;0.0;0.988333333;-0.119166667;-0.000757576;-0.023809524;-0.023944421
1245;283.85;383.95;3.37;3.37;0.4;0.995833333;-0.104166667;-0.00038961;-0.011428571;-0.011378248
1246;284.85;383.85;3.38;3.38;0.5;0.995;-0.104166667;0.000367965;-0.00047619;-0.000434908
1247;285.84;383.74;3.38;3.38;0.5;0.995;-0.110833333;0.00038961;-1.08273E-14;4.30327E-05
1248;286.84;383.63;3.39;3.39;0.3;0.995;-0.110833333;-0.00038961;0;-4.30327E-05
1249;287.83;383.52;3.39;3.39;0.3;0.995;-0.104166667;-0.000367965;0.00047619;0.000434908
1250;288.83;383.42;3.39;3.39;0.3;0.995833333;-0.104166667;-0.00021645;-0.00047619;-0.000494871
1251;289.82;383.31;3.4;3.40;0.5;0.988333333;-0.110833333;-0.001212121;-0.001190476;-0.001332687
1252;290.81;383.2;3.4;3.40;0.6;0.995833333;-0.11;-0.001904762;-0.011904762;-0.011996525
1253;291.81;383.09;3.41;3.41;0.9;0.996666667;-0.1025;-0.002770563;-0.021428571;-0.021516724
1254;292.8;382.98;3.42;3.42;1.1;0.984166667;-0.155;-0.002748918;-0.02452381;-0.024836437
1255;293.78;382.78;3.43;3.43;0.9;0.979166667;-0.208333333;-0.002705628;-0.020238095;-0.020313979
1256;294.76;382.58;3.44;3.44;0.5;0.98;-0.194166667;-0.001969697;-0.010238095;-0.010445528
1257;295.74;382.39;3.44;3.44;0.7;0.98;-0.194166667;-0.000606061;0.000714286;0.000583986
1258;296.72;382.19;3.45;3.45;1.4;0.98;-0.201666667;0.000606061;-1.08273E-14;0.000122026
1259;297.7;381.99;3.47;3.47;1.8;0.98;-0.194166667;0.000757576;0.00047619;0.000615515
